,r-a,Dra,w-a,Dwa
0,0.024686781272372393,0.0014880331054745316,0.0036443913748177652,0.0009212810244125534
1,0.003621531442535648,0.0006984744842402043,0.0030763097287978547,0.0004917906180284473
2,0.0032376938825814093,0.00046644498114844027,0.0028970781645771943,0.0004955125440051925
3,0.00287159532426957,0.001296182631911173,0.0028020367768433626,0.0005117795989002278
4,0.0025946858798071883,0.0005327075342854575,0.002523798913168139,0.000902661331196196
5,0.0025720973557055893,0.0008039638486463641,0.002500112380406227,0.00044517833346561326
6,0.0025093425943382916,0.0007003030055821967,0.0022218137284847317,0.0008856694276955576
7,0.0019330871124998545,0.0006912045204161141,0.002159303483799625,0.0002264060784190545
8,0.0019024948682553396,0.000492447472951763,0.002145397254314142,0.0005977022914735857
9,-1.0,-1.0,0.002143890240890638,0.0007707184554468182
10,-1.0,-1.0,0.002080185344484092,0.0004392690672226164
11,-1.0,-1.0,0.0020778179581565663,0.0006985160280904917
12,-1.0,-1.0,0.0019922068116363335,0.0003716066508372403
13,-1.0,-1.0,0.0019878519853922605,0.0005006969056601959
14,-1.0,-1.0,0.0017953850861341086,0.0005935425482158853
15,-1.0,-1.0,0.0015108606993055557,0.00046486044058912133
16,-1.0,-1.0,0.00147206689573214,0.00046868204727505816
17,-1.0,-1.0,0.0013243549004602997,0.0005444612989305806
18,-1.0,-1.0,0.0011910075336910584,0.00039714953947437757
19,-1.0,-1.0,0.09298515930475651,0.0015236323442929236
20,-1.0,-1.0,0.061506164673503214,0.0011477472927667882
21,-1.0,-1.0,0.04940866888043127,0.0013737194375029232
22,-1.0,-1.0,0.03482196188389385,0.0009608364731944731
23,-1.0,-1.0,0.022874752492238602,0.0008164977508485513
24,-1.0,-1.0,0.014634548799408764,0.0009246647633505749
25,-1.0,-1.0,0.013925718119882462,0.0009113460436602013
26,-1.0,-1.0,0.009433405698125228,0.00102591439041431
27,-1.0,-1.0,0.007944202338900025,0.0004633698438907615
28,-1.0,-1.0,0.0062510536065654085,0.00041441003029620374
29,-1.0,-1.0,0.004370579912043944,0.00040363608584177517
30,-1.0,-1.0,0.0017997488599071037,0.00036774721451643936
